Tag	SARG.Seq.ID	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S
	L06156.1.gene1.p01	aminoglycoside	aminoglycoside__AAC(2')-Ia	AAC(2')-Ia	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes
	U41471.1.gene1.p01	aminoglycoside	aminoglycoside__AAC(2')-Ib	AAC(2')-Ib	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes
	YP_001848841	aminoglycoside	aminoglycoside__AAC(2')-Ic	AAC(2')-Ic	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes
	YP_905232	aminoglycoside	aminoglycoside__AAC(2')-Ic	AAC(2')-Ic	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes
	AE000516.2.gene277.p01	aminoglycoside	aminoglycoside__AAC(2')-Ic	AAC(2')-Ic	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes
	U72743.1.gene1.p01	aminoglycoside	aminoglycoside__AAC(2')-Id	AAC(2')-Id	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes
	gb|CAC32082.1|ARO:3002527|AAC(2')-Ie	aminoglycoside	aminoglycoside__AAC(2')-Ie	AAC(2')-Ie	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes
	gb|BAM16262.1|ARO:3004628|AAC(2')-IIa	aminoglycoside	aminoglycoside__AAC(2')-IIa	AAC(2')-IIa	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes
	gb|APB03221.1|ARO:3003988|AAC(2')-IIb	aminoglycoside	aminoglycoside__AAC(2')-IIb	AAC(2')-IIb	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes
	AAB20441	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	AAC77497	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	AAK12088	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	AAN41440	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	CAA08847	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	CAI46944	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	CAJ32498	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	CAM88357	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	gi|549637587|ref|WP_022542381.1|	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	gi|645909098|ref|WP_025464514.1|	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
	gi|685918340|ref|WP_031655082.1|	aminoglycoside	aminoglycoside__AAC(3)-Ia	AAC(3)-I	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes
