Tag	SARG.Seq.ID	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S
two-component system	gb|AAF40763.1|ARO:3003961|farA	antibacterial_fatty_acid	antibacterial_fatty_acid__farA	farA	Efflux pump			Yes	Yes	Yes
two-component system	gb|AAF40764.1|ARO:3003962|farB	antibacterial_fatty_acid	antibacterial_fatty_acid__farB	farB	Efflux pump			Yes	Yes	Yes
two-component system	gb|CAH14032.1|ARO:3004099|LpeA	macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__LpeA	LpeA	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gb|CAH14033.1|ARO:3004100|LpeB	macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__LpeB	LpeB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gb|WP_104671188.1|ARO:3003948|efrA	multidrug	multidrug__efrA	efrA	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gb|CDO61516.1|ARO:3003949|efrB	multidrug	multidrug__efrB	efrB	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|496665986|ref|WP_009308476.1|	multidrug	multidrug__Klebsiella pneumoniae KpnG	Klebsiella pneumoniae KpnG	Efflux pump			Yes	Yes	Yes
two-component system	gi|510905729|ref|WP_016232280.1|	multidrug	multidrug__Klebsiella pneumoniae KpnH	Klebsiella pneumoniae KpnH	Efflux pump			Yes	Yes	Yes
two-component system	P49856	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	ABS73653	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|1036316000|gb|OAZ59366.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|1044625135|gb|OCB99622.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|307606148|emb|CBI42519.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|452079515|emb|CCP21271.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|489246603|ref|WP_003154767.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|489311090|ref|WP_003218499.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|489331808|ref|WP_003239065.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|489421662|ref|WP_003327390.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|494649292|ref|WP_007407236.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|503879533|ref|WP_014113527.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|504292487|ref|WP_014479589.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|505052607|ref|WP_015239709.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|505196367|ref|WP_015383469.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|639242619|ref|WP_024572769.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|740643397|ref|WP_038428846.1|	multidrug	multidrug__ykkC	ykkC	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	P49857	multidrug	multidrug__ykkD	ykkD	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	ABS73654	multidrug	multidrug__ykkD	ykkD	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|291483835|dbj|BAI84910.1|	multidrug	multidrug__ykkD	ykkD	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|320021335|gb|ADV96321.1|	multidrug	multidrug__ykkD	ykkD	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|489246601|ref|WP_003154765.1|	multidrug	multidrug__ykkD	ykkD	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|489311091|ref|WP_003218500.1|	multidrug	multidrug__ykkD	ykkD	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|489421661|ref|WP_003327389.1|	multidrug	multidrug__ykkD	ykkD	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	gi|515503150|ref|WP_016936404.1|	multidrug	multidrug__ykkD	ykkD	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes
two-component system	YP_001401993	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
