Seq.ID	Subtype	Type
L06156.1.gene1.p01	AAC(2')-Ia	aminoglycoside
U41471.1.gene1.p01	AAC(2')-Ib	aminoglycoside
YP_001848841	AAC(2')-Ic	aminoglycoside
YP_905232	AAC(2')-Ic	aminoglycoside
AE000516.2.gene277.p01	AAC(2')-Ic	aminoglycoside
U72743.1.gene1.p01	AAC(2')-Id	aminoglycoside
gb|CAC32082.1|ARO:3002527|AAC(2')-Ie	AAC(2')-Ie	aminoglycoside
gb|BAM16262.1|ARO:3004628|AAC(2')-IIa	AAC(2')-IIa	aminoglycoside
gb|APB03221.1|ARO:3003988|AAC(2')-IIb	AAC(2')-IIb	aminoglycoside
AAB20441	AAC(3)-Ia	aminoglycoside
AAC77497	AAC(3)-Ia	aminoglycoside
AAK12088	AAC(3)-Ia	aminoglycoside
AAN41440	AAC(3)-Ia	aminoglycoside
CAA08847	AAC(3)-Ia	aminoglycoside
CAI46944	AAC(3)-Ia	aminoglycoside
CAJ32498	AAC(3)-Ia	aminoglycoside
CAM88357	AAC(3)-Ia	aminoglycoside
gi|549637587|ref|WP_022542381.1|	AAC(3)-Ia	aminoglycoside
gi|645909098|ref|WP_025464514.1|	AAC(3)-Ia	aminoglycoside
gi|685918340|ref|WP_031655082.1|	AAC(3)-Ia	aminoglycoside
gi|690976387|ref|WP_031950771.1|	AAC(3)-Ia	aminoglycoside
gi|691072069|ref|WP_032013222.1|	AAC(3)-Ia	aminoglycoside
gi|730658257|ref|WP_034065477.1|	AAC(3)-Ia	aminoglycoside
gi|927928807|gb|ALE32149.1|	AAC(3)-Ia	aminoglycoside
HM036080.1.gene1.p01	AAC(3)-Ia	aminoglycoside
U12338.3.gene5.p01	AAC(3)-Ia	aminoglycoside
gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	AAC(3)-Ia	aminoglycoside
gi|504869973|ref|WP_015057075.1|	AAC(3)-Ib	aminoglycoside
gi|695737392|ref|WP_032663836.1|	AAC(3)-Ib	aminoglycoside
L06157.1.gene1.p01	AAC(3)-Ib	aminoglycoside
AF355189.1.gene2.p01	AAC(3)-Ib/AAC(6')-Ib''	aminoglycoside
AJ511268.1.gene3.p01	AAC(3)-Ic	aminoglycoside
gi|489247580|ref|WP_003155734.1|	AAC(3)-Id	aminoglycoside
gi|639206639|ref|WP_024544906.1|	AAC(3)-Id	aminoglycoside
gi|746038505|ref|WP_039110078.1|	AAC(3)-Id	aminoglycoside
AY463797.7.gene13.p01	AAC(3)-Id	aminoglycoside
X13543.1.gene1.p1	AAC(3)-IIa	aminoglycoside
M97172.1.gene1.p01	AAC(3)-IIb	aminoglycoside
X54723.1.gene1.p01	AAC(3)-IIc	aminoglycoside
AAA19915	AAC(3)-IId	aminoglycoside
JE0138	AAC(3)-IId	aminoglycoside
YP_001966247	AAC(3)-IId	aminoglycoside
AAB20442	AAC(3)-IIe	aminoglycoside
AAN34370	AAC(3)-IIe	aminoglycoside
ACI02996	AAC(3)-IIe	aminoglycoside
gi|690685601|ref|WP_031944095.1|	AAC(3)-IIe	aminoglycoside
gb|ABS70978.1|ARO:3004621|AAC(3)-IIe	AAC(3)-IIe	aminoglycoside
X55652.1.gene2.p01	AAC(3)-IIIa	aminoglycoside
gb|KSC15183.1|ARO:3002537|AAC(3)-IIIb	AAC(3)-IIIb	aminoglycoside
gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	AAC(3)-IIIc	aminoglycoside
ABB43029	AAC(3)-IV	aminoglycoside
AY216678.1.gene1.p01	AAC(3)-IV	aminoglycoside
gi|446015186|ref|WP_000093041.1|	AAC(3)-IV	aminoglycoside
X01385.gene.p01	AAC(3)-IV	aminoglycoside
M55427.1.gene1.p01	AAC(3)-IXa	aminoglycoside
NC_009838.1.5616796.p01	AAC(3)-VIa	aminoglycoside
M88012.1.gene2.p01	AAC(3)-VIa	aminoglycoside
M22999.1.gene2.p01	AAC(3)-VIIa	aminoglycoside
CAF33325	AAC(3)-VIIIa	aminoglycoside
CAG34024	AAC(3)-VIIIa	aminoglycoside
CAH58703	AAC(3)-VIIIa	aminoglycoside
M55426.1.gene1.p01	AAC(3)-VIIIa	aminoglycoside
AB028210.1.gene2.p01	AAC(3)-Xa	aminoglycoside
gb|WP_064190968.1|ARO:3002583|AAC(6')-29a	AAC(6')-29a	aminoglycoside
gb|WP_064190969.1|ARO:3002584|AAC(6')-29b	AAC(6')-29b	aminoglycoside
AJ584652.2.gene5.p01	AAC(6')-30/AAC(6')-Ib' fusion protein	aminoglycoside
AM283489.1.gene3.p01	AAC(6')-31	aminoglycoside
AM283490.1.gene4.p01	AAC(6')-31	aminoglycoside
gi|939369456|ref|WP_054914207.1|	AAC(6')-31	aminoglycoside
gi|950181216|ref|WP_057228652.1|	AAC(6')-31	aminoglycoside
gi|950228232|ref|WP_057272322.1|	AAC(6')-31	aminoglycoside
gi|959688383|ref|WP_058124867.1|	AAC(6')-31	aminoglycoside
EF614235.1.gene3.p01	AAC(6')-32	aminoglycoside
JN596280.1.gene2.p01	AAC(6')-33	aminoglycoside
gb|APB03223.1|ARO:3003989|AAC(6')-34	AAC(6')-34	aminoglycoside
AY289608.1.gene3.p01	AAC(6')-I30	aminoglycoside
AAG45714	AAC(6')-Ia	aminoglycoside
AB061794.1.gene2.p01	AAC(6')-Ia	aminoglycoside
gb|AAL20537.1|ARO:3002571|AAC(6')-Iaa	AAC(6')-Iaa	aminoglycoside
AB119105.1.gene1.p01	AAC(6')-Iad	aminoglycoside
AB104852.1.gene3.p01	AAC(6')-Iae	aminoglycoside
AB462903.1.gene2.p01	AAC(6')-Iaf	aminoglycoside
gb|BAN78519.1|ARO:3004638|AAC(6')-Iag	AAC(6')-Iag	aminoglycoside
EU886977.1.gene2.p01	AAC(6')-Iai	aminoglycoside
gb|BAM46120.1|ARO:3003677|AAC(6')-Iaj	AAC(6')-Iaj	aminoglycoside
gb|BAO21229.1|ARO:3003199|AAC(6')-Iak	AAC(6')-Iak	aminoglycoside
gb|BAQ22025.1|ARO:3003200|AAC(6')-Ian	AAC(6')-Ian	aminoglycoside
JQ808129.1.gene1.p01	AAC(6')-Ib	aminoglycoside
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	AAC(6')-Ib'	aminoglycoside
ABC54722	AAC(6')-Ib10	aminoglycoside
M23634.1.gene1.p1	AAC(6')-Ib10	aminoglycoside
U59183.1.gene2.p01	AAC(6')-Ib10	aminoglycoside
AY136758.1.gene3.p01	AAC(6')-Ib11	aminoglycoside
AF318077.1.gene1.p01	AAC(6')-Ib3	aminoglycoside
AF231133.1.gene2.p01	AAC(6')-Ib4	aminoglycoside
AAK51920	AAC(6')-Ib7	aminoglycoside
AAT70791	AAC(6')-Ib7	aminoglycoside
ABG77519	AAC(6')-Ib7	aminoglycoside
AF479774.1.gene5.p01	AAC(6')-Ib7	aminoglycoside
NP_863005	AAC(6')-Ib7	aminoglycoside
YP_002791392	AAC(6')-Ib7	aminoglycoside
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	AAC(6')-Ib7	aminoglycoside
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	AAC(6')-Ib8	aminoglycoside
AB715422.1.gene3.p01	AAC(6')-Ib9	aminoglycoside
AF043381.1.gene2.p01	AAC(6')-Ib9	aminoglycoside
DQ303918.1.gene1.p01	AAC(6')-Ib-cr	aminoglycoside
FJ503047.1.gene1.p01	AAC(6')-Ib-Hangzhou	aminoglycoside
AB164230.1.gene1.p01	AAC(6')-Ib-SK	aminoglycoside
EU085533.1.gene1.p01	AAC(6')-Ib-Suzhou	aminoglycoside
M94066.1.gene1.p01	AAC(6')-Ic	aminoglycoside
BAH18719	AAC(6')-Ie-APH(2'')-Ia	aminoglycoside
CAD60196	AAC(6')-Ie-APH(2'')-Ia	aminoglycoside
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	aminoglycoside
X55353.1.gene1.p01	AAC(6')-If	aminoglycoside
ZP_03822933	AAC(6')-Ig	aminoglycoside
L09246.1.gene1.p01	AAC(6')-Ig	aminoglycoside
L29044.1.gene1.p01	AAC(6')-Ih	aminoglycoside
L12710.gene.p01	AAC(6')-Ii	aminoglycoside
M29695.1.gene2.p01	AAC(6')-IIa	aminoglycoside
gi|638916062|ref|WP_024437054.1|	AAC(6')-IIa	aminoglycoside
gi|959843707|ref|WP_058131000.1|	AAC(6')-IIa	aminoglycoside
gi|959846751|ref|WP_058132760.1|	AAC(6')-IIa	aminoglycoside
L06163.1.gene1.p01	AAC(6')-IIb	aminoglycoside
AF162771.1.gene2.p01	AAC(6')-IIc	aminoglycoside
AJ584700.2.gene1.p01	AAC(6')-Iid	aminoglycoside
AJ584701.2.gene1.p01	AAC(6')-Iih	aminoglycoside
L29045.1.gene1.p01	AAC(6')-Ij	aminoglycoside
L29510.1.gene1.p01	AAC(6')-Ik	aminoglycoside
gb|AAA90937.1|ARO:3004635|AAC(6')-Il	AAC(6')-Il	aminoglycoside
AF337947.1.gene2.p01	AAC(6')-Im	aminoglycoside
Z54241.1.gene2.p01	AAC(6')-Ip	aminoglycoside
AF047556.1.gene1.p01	AAC(6')-Iq	aminoglycoside
AF031326.1.gene1.p1	AAC(6')-Ir	aminoglycoside
AF031327.1.gene1.p1	AAC(6')-Is	aminoglycoside
AB116646.1.gene1.p01	AAC(6')-Isa	aminoglycoside
AF031328.1.gene1.p1	AAC(6')-It	aminoglycoside
AF031329.1.gene1.p1	AAC(6')-Iu	aminoglycoside
AF031330.1.gene1.p1	AAC(6')-Iv	aminoglycoside
AF031331.1.gene1.p1	AAC(6')-Iw	aminoglycoside
AF031332.1.gene1.p1	AAC(6')-Ix	aminoglycoside
AF144880.1.gene1.p01	AAC(6')-Iy	aminoglycoside
AF140221.1.gene1.p1	AAC(6')-Iz	aminoglycoside
gb|AEA07977.1|ARO:3004641|aacA43	aacA43	aminoglycoside
AY712687.1.gene1.p01	aad(6)	aminoglycoside
AJ489618.1.orf2.gene.p01	aad(6)	aminoglycoside
AM410044.gene9.p01	aad(6)	aminoglycoside
NC_006663.1.orf0.gene.p01	aad(6)	aminoglycoside
AB104852.1.gene4.p01	aadA	aminoglycoside
ABF67771	aadA	aminoglycoside
ABO42050	aadA	aminoglycoside
AF205943.1.gene15.p01	aadA	aminoglycoside
AJ567827.1.gene1.p01	aadA	aminoglycoside
BAA78801	aadA	aminoglycoside
gi|22094843|gb|AAM92010.1|AF527485_2	aadA	aminoglycoside
gi|223886324|gb|ACN22617.1|	aadA	aminoglycoside
gi|223886328|gb|ACN22620.1|	aadA	aminoglycoside
gi|241992581|gb|ACS73641.1|	aadA	aminoglycoside
gi|305670809|gb|ADM62671.1|	aadA	aminoglycoside
gi|38231197|gb|AAR14532.1|	aadA	aminoglycoside
gi|447129061|ref|WP_001206317.1|	aadA	aminoglycoside
gi|502187851|ref|WP_012728223.1|	aadA	aminoglycoside
gi|504871867|ref|WP_015058969.1|	aadA	aminoglycoside
gi|53794413|gb|AAU93764.1|	aadA	aminoglycoside
gi|58759041|gb|AAW81957.1|	aadA	aminoglycoside
gi|62736928|gb|AAX97756.1|	aadA	aminoglycoside
YP_001144148	aadA	aminoglycoside
YP_002894485	aadA	aminoglycoside
ZP_01974653	aadA	aminoglycoside
ZP_03028124	aadA	aminoglycoside
ZP_03063004	aadA	aminoglycoside
gb|AAL36430.1|ARO:3004692|aadA10	aadA10	aminoglycoside
AY758206.1.gene5.p01	aadA11	aminoglycoside
FJ381668.1.gene1.p01	aadA12	aminoglycoside
gb|ABW91178.1|ARO:3002613|aadA13	aadA13	aminoglycoside
AJ884726.1.gene1.p01	aadA14	aminoglycoside
DQ393783.1.gene4.p01	aadA15	aminoglycoside
EU675686.2.gene5.p01	aadA16	aminoglycoside
FJ460181.2.gene3.p01	aadA17	aminoglycoside
KJ363320.1.gene3.p01	aadA2	aminoglycoside
AY171244.1.gene1.p01	aadA21	aminoglycoside
AM261837.1.gene1.p01	aadA22	aminoglycoside
AJ809407.1.gene1.p01	aadA23	aminoglycoside
DQ677333.1.gene1.p01	aadA24	aminoglycoside
gb|AET15272.1|ARO:3003197|aadA25	aadA25	aminoglycoside
gb|CTQ57092.1|ARO:3004682|aadA27	aadA27	aminoglycoside
AF047479.2.gene10.p01	aadA3	aminoglycoside
AY138986.1.gene1.p01	aadA4	aminoglycoside
NC_010558.1.6275994.p01	aadA5	aminoglycoside
AM087411.1.gene3.p01	aadA6	aminoglycoside
AM087405.1.gene3.p01	aadA6/aadA10	aminoglycoside
AB114632.1.gene2.p01	aadA7	aminoglycoside
AY139603.1.gene1.p01	aadA8	aminoglycoside
gb|CAJ13568.1|ARO:3004704|aadA8b	aadA8b	aminoglycoside
gb|ABG49324.1|ARO:3002609|aadA9	aadA9	aminoglycoside
M26879.gene.p01	aadK	aminoglycoside
gi|1021323235|ref|WP_063335491.1|	aadK	aminoglycoside
gi|1036102393|ref|WP_064671003.1|	aadK	aminoglycoside
gi|1039476118|ref|WP_064814315.1|	aadK	aminoglycoside
gi|504290343|ref|WP_014477445.1|	aadK	aminoglycoside
gi|504293267|ref|WP_014480369.1|	aadK	aminoglycoside
gi|504477632|ref|WP_014664734.1|	aadK	aminoglycoside
gi|505064509|ref|WP_015251611.1|	aadK	aminoglycoside
gi|505197081|ref|WP_015384183.1|	aadK	aminoglycoside
gi|505913051|ref|WP_015714371.1|	aadK	aminoglycoside
gi|516292737|ref|WP_017696044.1|	aadK	aminoglycoside
gi|518542328|ref|WP_019712535.1|	aadK	aminoglycoside
gi|545117546|ref|WP_021480175.1|	aadK	aminoglycoside
gi|639241482|ref|WP_024571810.1|	aadK	aminoglycoside
gi|639659608|ref|WP_024714945.1|	aadK	aminoglycoside
gi|657203716|ref|WP_029318148.1|	aadK	aminoglycoside
gi|658532949|ref|WP_029727170.1|	aadK	aminoglycoside
gi|695808225|ref|WP_032722230.1|	aadK	aminoglycoside
gi|695812370|ref|WP_032726253.1|	aadK	aminoglycoside
gi|727790979|ref|WP_033885128.1|	aadK	aminoglycoside
gi|740643923|ref|WP_038429371.1|	aadK	aminoglycoside
gi|749035552|ref|WP_040082373.1|	aadK	aminoglycoside
gi|751585223|ref|WP_041053663.1|	aadK	aminoglycoside
gi|752685555|ref|WP_041333494.1|	aadK	aminoglycoside
gi|754290639|ref|WP_041850110.1|	aadK	aminoglycoside
gi|760320840|ref|WP_043856858.1|	aadK	aminoglycoside
gi|764608193|ref|WP_044428795.1|	aadK	aminoglycoside
gi|814576192|ref|WP_046381214.1|	aadK	aminoglycoside
gi|827043802|ref|WP_047182932.1|	aadK	aminoglycoside
gi|896112410|ref|WP_049141107.1|	aadK	aminoglycoside
gb|AAA27459.1|ARO:3004683|aadS	aadS	aminoglycoside
ACA48663	ANT(2'')-Ia	aminoglycoside
CAG34229	ANT(2'')-Ia	aminoglycoside
gi|499186167|ref|WP_010883707.1|	ANT(2'')-Ia	aminoglycoside
X04555.1.orf0.gene.p01	ANT(2'')-Ia	aminoglycoside
YP_001338814	ANT(2'')-Ia	aminoglycoside
AF205943.1.gene7.p01	ANT(2'')-Ia	aminoglycoside
X02340.1.orf0.gene.p01	ANT(3'')-IIa	aminoglycoside
AAL51021	ANT(3'')-Ii-AAC(6')-IId fusion protein	aminoglycoside
AAU89126	ANT(3'')-Ii-AAC(6')-IId fusion protein	aminoglycoside
AF453998.2.gene4.p01	ANT(3'')-Ii-AAC(6')-IId fusion protein	aminoglycoside
gb|ENU91137|ARO:3004090|ANT(3'')-IIb	ANT(3'')-IIb	aminoglycoside
gb|ENU37733|ARO:3004091|ANT(3'')-IIc	ANT(3'')-IIc	aminoglycoside
EF540343.1.gene1.p01	ANT(4')-Ia	aminoglycoside
gi|1027664803|ref|WP_063609470.1|	ANT(4')-Ia	aminoglycoside
AAA92254	ANT(4')-Ib	aminoglycoside
ACC96132	ANT(4')-Ib	aminoglycoside
BAA06245	ANT(4')-Ib	aminoglycoside
BAC98411	ANT(4')-Ib	aminoglycoside
gi|486213268|ref|WP_001555819.1|	ANT(4')-Ib	aminoglycoside
gi|487729826|ref|WP_001814058.1|	ANT(4')-Ib	aminoglycoside
gi|909706753|ref|WP_049949954.1|	ANT(4')-Ib	aminoglycoside
NP_863621	ANT(4')-Ib	aminoglycoside
BAC00986	ANT(4')-Ib	aminoglycoside
M98270.1.orf0.gene.p01	ANT(4')-IIa	aminoglycoside
AY114142.1.gene1.p01	ANT(4')-IIb	aminoglycoside
gi|486458841|gb|EOE03251.1|	ANT(6)-Ia	aminoglycoside
gi|994929255|emb|CZA27509.1|	ANT(6)-Ia	aminoglycoside
JQ861959.1.gene5.p01	ANT(6)-Ia	aminoglycoside
FN594949.1.gene25.p01	ANT(6)-Ib	aminoglycoside
AAX54909	ANT(9)-Ia	aminoglycoside
Q07448	ANT(9)-Ia	aminoglycoside
AY939911.1.gene1.p01	APH(2'')-Ie	aminoglycoside
gb|AAW34150.1|ARO:3004191|APH(2'')-If	APH(2'')-If	aminoglycoside
CP004067.1.gene46.p01	APH(2'')-Ig	aminoglycoside
AF207840.gene.p01	APH(2'')-IIa	aminoglycoside
AF337947.1.gene1.p01	APH(2'')-IIa	aminoglycoside
U51479.gene.p01	APH(2'')-IIIa	aminoglycoside
AF016483.gene.p01	APH(2'')-IVa	aminoglycoside
AAA88337	APH(3')-Ia	aminoglycoside
AAB34257	APH(3')-Ia	aminoglycoside
ACA35067	APH(3')-Ia	aminoglycoside
ACD76089	APH(3')-Ia	aminoglycoside
BAA08271	APH(3')-Ia	aminoglycoside
BAB93733	APH(3')-Ia	aminoglycoside
gi|11991641|gb|AAG42313.1|AF306519_1	APH(3')-Ia	aminoglycoside
Q03447	APH(3')-Ia	aminoglycoside
XP_001893601	APH(3')-Ia	aminoglycoside
XP_001914640	APH(3')-Ia	aminoglycoside
YP_001966537	APH(3')-Ia	aminoglycoside
YP_002791441	APH(3')-Ia	aminoglycoside
AF024666.2.gene42.p01	APH(3')-Ia	aminoglycoside
AAA26700	APH(3'')-Ia	aminoglycoside
BAG17078	APH(3'')-Ia	aminoglycoside
X53527.1.gene1.p1	APH(3'')-Ia	aminoglycoside
CAJ85716	APH(3')-Ib	aminoglycoside
YP_112402	APH(3')-Ib	aminoglycoside
M20305.1.gene1.p1	APH(3')-Ib	aminoglycoside
DQ464881.1.gene4.p01	APH(3'')-Ib	aminoglycoside
AF313472.2.gene15.p01	APH(3'')-Ib	aminoglycoside
DQ336355.1.gene5.p01	APH(3'')-Ic	aminoglycoside
gb|CAA23892.1|ARO:3002644|APH(3')-IIa	APH(3')-IIa	aminoglycoside
X90856.1.gene1.p01	APH(3')-IIb	aminoglycoside
gi|489184003|ref|WP_003093441.1|	APH(3')-IIb	aminoglycoside
